Thread,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
thread_132.txt,0.011116071078037793,0.8999775540485232,0.01111111266999955,0.011112559971386337,0.011111115883683034,0.011116715511220504,0.01111111263991349,0.011111688377337073,0.011120774118410524,0.011111295701488732
thread_133.txt,0.057789895961436515,0.31657032765849691,0,0,0,0.60305788497348412,0,0,0,0
thread_134.txt,0.050000000298309394,0.05000133671575574,0.0500000005479566,0.050001194728208666,0.050000000439767808,0.050009782922982894,0.050000000485236354,0.050001187192275892,0.54998600934780351,0.050000487321703008
thread_135.txt,0,0,0,0.7656901389545927,0,0,0,0,0.16763242539738335,0
thread_136.txt,0,0.8886971222006792,0,0,0,0,0,0.066850576388551436,0,0
thread_137.txt,0.064131707793842904,0.25121215729813157,0,0.55506024463208625,0,0,0,0.058195651961499395,0.062627964705562422,0
thread_138.txt,0,0.42519657075967654,0,0.27245884879351856,0,0.22314721451880951,0,0.06669509540901554,0,0
thread_139.txt,0,0.8991216167269851,0,0,0,0,0,0.075874982224640036,0,0
thread_14.txt,0.22166819004725211,0.25497865132117803,0,0.15104188735388629,0,0.28973705191472093,0,0.06868443835507626,0,0
thread_140.txt,0,0.36807886103013832,0,0.50971569253776394,0,0,0,0.087200738704927588,0,0
thread_141.txt,0.20004257952966858,0.23354767824293135,0,0.3293866309616677,0,0,0,0,0.2148001672927394,0
thread_142.txt,0.45197469439546556,0.10202573415916878,0,0,0,0.23646062374774826,0,0,0.17795872657231979,0
thread_143.txt,0,0.52703994097640861,0,0.32252427022858798,0,0.072370513483681426,0,0.06883405662926019,0,0
thread_144.txt,0,0.58216635768310232,0,0.24417421955514362,0,0.10215440957988607,0,0.062933190364589067,0,0
thread_145.txt,0.11053106070599633,0.011112918558009492,0.011111114088354522,0.56920386527983646,0.011111114452128142,0.011112777034296887,0.011111114079928453,0.011111509365069831,0.24248333672310723,0.011111189713272787
thread_146.txt,0.26332827680491366,0.025003192077658814,0.025000002621135664,0.025001125587028657,0.025000002349758809,0.025004450844068424,0.025000002592551845,0.28849120841305398,0.2731715033478509,0.025000235361979251
thread_147.txt,0,0.73037108725999156,0,0.26053697717731333,0,0,0,0,0,0
thread_148.txt,0.21521436337427097,0.56234121419430916,0,0.028875227632474083,0,0,0,0.1320197673315987,0.055138919308512779,0
thread_149.txt,0.020014294460822226,0.47886337523098277,0.020000006556969378,0.020003219929824696,0.020000005924073732,0.36110871090253277,0.020000006535950115,0.020000473341542882,0.020009708129691418,0.020000198987609945
thread_15.txt,0.033333333493469779,0.033334050848488193,0.033333333627483704,0.03333397463734953,0.033333333569406529,0.033338350872266463,0.033333333593814643,0.033333970593742698,0.6999927238365663,0.033333594927412079
thread_150.txt,0,0.47415081557848077,0,0.49106036756289667,0,0,0,0,0,0
thread_151.txt,0,0.43119965539742761,0,0.40824121218813109,0,0,0,0,0.12166199569334185,0
thread_152.txt,0.15278502163662577,0,0,0.55151399210649776,0,0.24569136757144605,0,0,0,0
thread_153.txt,0,0.58362625468787188,0,0.3719182624559253,0,0,0,0,0,0
thread_154.txt,0,0.64775080869890034,0,0.16263135240004561,0,0,0,0.1636885419063093,0,0
thread_155.txt,0,0.59602372075850063,0,0.29033086311445327,0,0.06024237690705133,0,0.043402330920176119,0,0
thread_156.txt,0,0.75671181684561195,0,0.23038292751384012,0,0,0,0,0,0
thread_157.txt,0,0.1386651868205874,0,0.19804629709735802,0,0.35997211809378887,0,0,0.26331205455186479,0
thread_158.txt,0.16626148509768227,0,0,0.7721841886438664,0,0,0,0,0,0
thread_159.txt,0.24300267047444654,0.60006531955360676,0,0,0,0,0,0.12008285344466159,0,0
thread_16.txt,0,0.61338595933581064,0,0.36498970844128392,0,0,0,0,0,0
thread_160.txt,0.014291615801952236,0.78401156599134836,0.014285716698450787,0.01428990203240499,0.014285717113089746,0.01429124666537482,0.014285716680103056,0.014286282728291034,0.10168636825377049,0.014285868035214502
thread_161.txt,0.02500157174541218,0.025008536998058495,0.025000000449027338,0.49594994338639342,0.025000009871618944,0.025006012474572337,0.025000000424698934,0.025000499213857004,0.30403323697358986,0.02500018846277148
thread_162.txt,0.016666869031478179,0.69729239518879194,0.016666669102286032,0.016670784358505841,0.016666668860011172,0.016673458051304286,0.016666669086322861,0.016667301805874616,0.1693623812869795,0.016666803228445683
thread_163.txt,0,0.79355104701745494,0,0,0,0,0,0.073013122023168453,0.089681471435351448,0
thread_164.txt,0.012500321071376073,0.012502204660399226,0.012500000709727111,0.012502568897131404,0.01250000063770125,0.35043231982636414,0.012500000703755815,0.012500460665807626,0.54956207296635151,0.012500049861385856
thread_165.txt,0.025000619683580298,0.46914458459834996,0.025000004227553121,0.025006788725811708,0.025000003813746074,0.025005068250075275,0.025000004208748663,0.025000461901246163,0.3308422935305893,0.025000171060299288
thread_166.txt,0,0.42487427270141603,0,0.51357755053957299,0,0,0,0,0,0
thread_167.txt,0,0.12539993769808816,0,0.34665874159735688,0,0,0,0.19794803015166137,0.32660318993248216,0
thread_168.txt,0,0.23051344976079763,0,0.50615692827689174,0,0,0,0.15917106256366056,0.098497632714941163,0
thread_169.txt,0,0.59052159416042294,0,0,0,0,0,0.15671394423958362,0.22583834942878722,0
thread_170.txt,0,0.059510916996749895,0,0.33759323335102814,0,0,0,0,0.59729485483977152,0
thread_171.txt,0.030427548661258227,0.11827737911864979,0,0.3067240530203873,0,0,0,0,0.532070454136648,0
thread_172.txt,0.050000000298254868,0.05000133646828353,0.050000000547856437,0.050001194505208832,0.050000000439687421,0.050009656493188559,0.050000000485147654,0.05000118697310043,0.54998613655709083,0.050000487232181604
thread_173.txt,0.11458252132238157,0.21399294222662552,0,0.24821986092446194,0,0,0,0,0.40012620433424767,0
thread_174.txt,0,0.25382133121027034,0,0.31284764693624095,0,0,0,0,0.37499293163728464,0
thread_175.txt,0.19381396756517125,0.53851399896869789,0,0,0,0,0,0,0.20402658650221817,0
thread_176.txt,0.080947390956842669,0.71956587051993803,0,0.15378791982823947,0,0.043718391330242169,0,0,0,0
thread_177.txt,0,0.4613775811393232,0,0.29006593002999098,0,0.20881935551065117,0,0.033551073212191411,0,0
thread_178.txt,0,0.50159391236824169,0,0.20702157659791284,0,0,0,0,0.23304645286345524,0
