Document,Topic_id,Weight
CVE-2016-6839,1,0.44979520515164961
CVE-2016-6839,3,0.51210492045080058
CVE-2016-5331,1,0.96399653928738005
CVE-2016-3166,1,0.96538063279834552
CVE-2016-2303,1,0.2238556071811024
CVE-2016-2303,3,0.73977417357161235
CVE-2016-2216,7,0.95908732795218332
CVE-2016-1900,3,0.91234958553883627
CVE-2016-1900,7,0.060061518768017921
CVE-2016-1899,1,0.97187147639014793
CVE-2016-1133,1,0.24554151803151336
CVE-2016-1133,3,0.71808851436178744
CVE-2016-0902,1,0.20906847422035596
CVE-2016-0902,3,0.75614259136399609
CVE-2016-0789,1,0.23466905184365544
CVE-2016-0789,3,0.73054258658006088
CVE-2016-0400,3,0.92834115725186439
CVE-2016-0400,7,0.043085525663318948
CVE-2016-0359,1,0.11045402967612458
CVE-2016-0359,3,0.86529791311239657
CVE-2015-8852,3,0.89897309564708294
CVE-2015-8852,7,0.066241326102395415
CVE-2015-5285,3,0.8945369046098175
CVE-2015-5285,7,0.065459133290620142
CVE-2015-5245,3,0.91894467129646651
CVE-2015-5245,7,0.049053139055193727
CVE-2015-5144,3,0.92344546835542662
CVE-2015-5144,7,0.046921938268935891
CVE-2015-2028,3,0.92550526530578292
CVE-2015-2028,7,0.044863055851896136
CVE-2015-2017,1,0.24200739599088722
CVE-2015-2017,3,0.73132226501732334
CVE-2015-0881,3,0.89152257111290367
CVE-2015-0881,7,0.070378930569437351
CVE-2015-0770,1,0.96785448534962948
CVE-2015-0733,1,0.97428240238178376
CVE-2015-0196,1,0.17214198693372362
CVE-2015-0196,3,0.79708273825518539
CVE-2014-9650,1,0.53567016329507799
CVE-2014-9650,3,0.42954316942515425
CVE-2014-8150,1,0.96538102981752971
CVE-2014-6151,1,0.96399623222098407
CVE-2014-4803,1,0.97499755747447814
CVE-2014-3427,1,0.24708656011914754
CVE-2014-3427,3,0.7148097924642165
CVE-2014-3069,1,0.97352643956413942
CVE-2014-3026,1,0.97187275726611666
CVE-2014-3012,1,0.96896213558288546
CVE-2014-1956,1,0.4348674364271502
CVE-2014-1956,3,0.52703286298032437
CVE-2014-1406,3,0.8765811811685279
CVE-2014-1406,7,0.088633103988218429
CVE-2013-6009,1,0.95908628501840487
CVE-2013-3998,1,0.30210885272791338
CVE-2013-3998,3,0.66825643743907248
CVE-2013-3373,1,0.33380037997738143
CVE-2013-3373,3,0.63141260455691572
CVE-2013-2950,1,0.96785426411691655
CVE-2013-2652,1,0.53792227218698074
CVE-2013-2652,3,0.4257096386593604
CVE-2013-1869,1,0.96537911414046862
CVE-2013-1647,1,0.55039635299912082
CVE-2013-1647,3,0.12877181480846076
CVE-2013-1647,5,0.29749631272919674
CVE-2013-0670,1,0.16505377313016353
CVE-2013-0670,3,0.80530976853103198
CVE-2012-6072,3,0.92247965864624126
CVE-2012-6072,7,0.046748545701192558
CVE-2012-5572,1,0.9608655558537712
CVE-2012-5057,1,0.95908645597266784
CVE-2012-4388,1,0.69587278099808714
CVE-2012-4388,7,0.28594355359515894
CVE-2012-4023,1,0.42397169906997084
CVE-2012-4023,3,0.53792852595567264
CVE-2012-3333,1,0.97187227122398612
CVE-2012-3301,1,0.30109431943006193
