Document,Topic_id,Weight
CVE-2016-6839,3,0.89585903285188484
CVE-2016-6839,19,0.061283823570347194
CVE-2016-5331,3,0.49578443739467348
CVE-2016-5331,4,0.41860309969266946
CVE-2016-5331,19,0.051612462397428734
CVE-2016-3166,9,0.89131673831747038
CVE-2016-3166,19,0.074067876570937871
CVE-2016-2303,9,0.89899517326496048
CVE-2016-2303,19,0.060095735206563326
CVE-2016-2216,13,0.56779299411799267
CVE-2016-2216,19,0.39129791456404539
CVE-2016-1900,7,0.34166921834379677
CVE-2016-1900,9,0.57218998664959642
CVE-2016-1900,19,0.05683044971878462
CVE-2016-1899,7,0.57054633743446337
CVE-2016-1899,13,0.40132866212105345
CVE-2016-1133,9,0.8879590591239771
CVE-2016-1133,19,0.071131849337166181
CVE-2016-0902,3,0.60550810859717685
CVE-2016-0902,13,0.35536145601102981
CVE-2016-0789,3,0.9061028826587495
CVE-2016-0789,19,0.054766681864167881
CVE-2016-0400,9,0.92402188877676006
CVE-2016-0400,19,0.043835253632371105
CVE-2016-0359,0,0.58169024107014289
CVE-2016-0359,9,0.21808963118232735
CVE-2016-0359,11,0.13356489611132441
CVE-2016-0359,19,0.042412807001830539
CVE-2015-8852,9,0.87698605502805027
CVE-2015-8852,19,0.083883509651218324
CVE-2015-5285,3,0.88307220791195995
CVE-2015-5285,19,0.071927791242357819
CVE-2015-5245,12,0.90306930250834427
CVE-2015-5245,19,0.060930696938306932
CVE-2015-5144,5,0.91337403222097657
CVE-2015-5144,19,0.05329263357766803
CVE-2015-2028,9,0.92077488498738735
CVE-2015-2028,19,0.045891781250298441
CVE-2015-2017,9,0.28581058836889089
CVE-2015-2017,13,0.15324325894405136
CVE-2015-2017,17,0.53261281886759559
CVE-2015-0881,13,0.95476190387101567
CVE-2015-0770,11,0.88605681084510168
CVE-2015-0770,19,0.081800331561643319
CVE-2015-0733,13,0.97285714253823574
CVE-2015-0196,9,0.91723715039393316
CVE-2015-0196,19,0.048147464476666346
CVE-2014-9650,11,0.51561197622468413
CVE-2014-9650,18,0.38989071242658047
CVE-2014-9650,19,0.057540789012040683
CVE-2014-8150,6,0.6683714320193942
CVE-2014-8150,13,0.29701318279819278
CVE-2014-6151,0,0.57809640209985969
CVE-2014-6151,3,0.33833702398235643
CVE-2014-6151,19,0.049566573298671361
CVE-2014-4803,2,0.77286179731232452
CVE-2014-4803,11,0.16834752921007676
CVE-2014-4803,19,0.035179561990102699
CVE-2014-3427,13,0.91551473239604231
CVE-2014-3427,15,0.041628124005888244
CVE-2014-3069,2,0.79360152136634221
CVE-2014-3069,15,0.14434243698042795
CVE-2014-3069,19,0.037056041267398747
CVE-2014-3026,9,0.93460007564335679
CVE-2014-3026,19,0.037274923901787486
CVE-2014-3012,2,0.37675872007209082
CVE-2014-3012,9,0.44204338350501055
CVE-2014-3012,13,0.15188755114662578
CVE-2014-1956,3,0.71639909841844795
CVE-2014-1956,13,0.24074375799556813
CVE-2014-1406,9,0.67316122691769642
CVE-2014-1406,13,0.28770833763040482
CVE-2013-6009,3,0.87909833560521511
CVE-2013-6009,19,0.079992572908859069
CVE-2013-3998,2,0.26540482948700972
CVE-2013-3998,3,0.65672895715429802
CVE-2013-3998,19,0.046384731410025352
CVE-2013-3373,3,0.90719435205907029
CVE-2013-3373,19,0.053675212618108363
CVE-2013-2950,3,0.35161657046820738
CVE-2013-2950,5,0.56901506137101465
CVE-2013-2950,19,0.049011224721073443
CVE-2013-2652,6,0.41156397496046948
CVE-2013-2652,13,0.54752693350197212
CVE-2013-1869,3,0.31362055056433774
CVE-2013-1869,13,0.65176406437279533
CVE-2013-1647,15,0.91299441025639982
CVE-2013-1647,19,0.057005589339958578
CVE-2013-0670,4,0.22424423115060388
CVE-2013-0670,11,0.69213425788572591
CVE-2013-0670,19,0.052140029012499874
CVE-2012-6072,0,0.48037325827504473
CVE-2012-6072,3,0.43882645202466974
CVE-2012-6072,19,0.048107981555890578
CVE-2012-5572,13,0.95869565154926073
CVE-2012-5057,6,0.10711173874396894
CVE-2012-5057,11,0.79540246969885531
CVE-2012-5057,19,0.058849427321453353
CVE-2012-4388,19,0.97840909065249126
CVE-2012-4023,3,0.8958691422928875
CVE-2012-4023,19,0.061273714027829579
CVE-2012-3333,6,0.20876460640703298
CVE-2012-3333,9,0.7266745438199832
CVE-2012-3333,19,0.037998349462603005
CVE-2012-3301,13,0.97121212077186114
CVE-2012-2943,3,0.89108959912506147
CVE-2012-2943,19,0.063910399708248175
CVE-2012-2374,9,0.88008238611564826
CVE-2012-2374,19,0.077060470340942794
CVE-2012-2041,13,0.96346153794584499
CVE-2012-0310,18,0.92679690336398934
CVE-2012-0310,19,0.042168613416466452
CVE-2011-4586,13,0.96724137881064409
CVE-2011-4545,6,0.89668294414690652
CVE-2011-4545,19,0.060459912156700636
CVE-2011-4512,4,0.94542483496538776
CVE-2011-4512,19,0.032075164759990317
CVE-2011-4237,5,0.10424697099792392
CVE-2011-4237,15,0.80992655918090151
CVE-2011-4237,19,0.055469326500927785
CVE-2011-4203,5,0.38266876022680202
CVE-2011-4203,13,0.58920623942251182
CVE-2011-3285,5,0.78619013721556896
CVE-2011-3285,13,0.18653713509848982
CVE-2011-3186,6,0.7097096489198389
CVE-2011-3186,13,0.25115991572466634
CVE-2011-3000,13,0.95476190426206808
CVE-2011-2732,6,0.74769401616780673
CVE-2011-2732,13,0.21139689226945721
CVE-2011-1895,13,0.97361111079024809
CVE-2011-1398,19,0.97499999984717134
CVE-2011-0581,13,0.96199999949140458
